sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
-0.314551,9.607031,-0.258203,-0.334961,9.44873,-0.180664,-0.429004,9.491211,-0.359961,-0.149512,-9.530469,0.299023,-0.199707,-9.666113,0.10791,-0.334082,-9.457617,0.131543,0.270801,-9.431934,0.229492,0.294336,-9.444629,0.06084,0.482031,-9.455859,-0.089258,0.441211,9.388477,-0.152148,0.122168,9.355566,-0.236523,0.115234,9.462402,-0.100293
-0.315234,9.606445,-0.25918,-0.335645,9.448145,-0.176953,-0.429492,9.490332,-0.357031,-0.149609,-9.52793,0.299316,-0.199902,-9.666211,0.108594,-0.33418,-9.456641,0.130078,0.27168,-9.431152,0.230469,0.294336,-9.444629,0.06084,0.480859,-9.455859,-0.089258,0.441211,9.38877,-0.15293,0.121777,9.355566,-0.234277,0.115234,9.462402,-0.099902
-0.313867,9.606445,-0.258887,-0.335352,9.44834,-0.176953,-0.429492,9.492871,-0.357031,-0.149609,-9.526367,0.297852,-0.200195,-9.665918,0.109277,-0.334668,-9.455371,0.130469,0.271777,-9.431152,0.230469,0.294824,-9.444434,0.060645,0.481055,-9.454492,-0.089453,0.441211,9.385938,-0.152637,0.12168,9.353223,-0.234082,0.115332,9.462305,-0.1
-0.313867,9.606152,-0.258887,-0.335352,9.44834,-0.176758,-0.429492,9.49209,-0.356836,-0.149609,-9.527051,0.300391,-0.200195,-9.666504,0.109473,-0.334375,-9.455371,0.131152,0.271582,-9.432422,0.230469,0.294141,-9.445801,0.060742,0.480371,-9.454492,-0.087891,0.444727,9.441895,-0.154785,0.122656,9.353418,-0.233691,0.114355,9.462598,-0.100098
-0.313867,9.604199,-0.258594,-0.335156,9.450586,-0.176758,-0.429297,9.491895,-0.356836,-0.149316,-9.527051,0.298926,-0.201563,-9.664355,0.109863,-0.334375,-9.455469,0.131152,0.271289,-9.432422,0.231738,0.294043,-9.442969,0.062695,0.480371,-9.455273,-0.086523,0.445703,9.458691,-0.154492,0.123242,9.35459,-0.233789,0.11377,9.459863,-0.099316
-0.314063,9.607227,-0.258594,-0.335156,9.44834,-0.176758,-0.429102,9.491895,-0.356836,-0.149707,-9.52832,0.301074,-0.200684,-9.664844,0.108594,-0.334473,-9.455566,0.132227,0.270996,-9.433105,0.231738,0.293945,-9.442969,0.059863,0.480078,-9.455273,-0.086133,0.445605,9.459766,-0.153516,0.123633,9.354688,-0.233789,0.114258,9.460059,-0.097559
-0.313281,9.607129,-0.258594,-0.335547,9.447461,-0.176465,-0.428906,9.492871,-0.358301,-0.150586,-9.529199,0.299707,-0.199414,-9.666895,0.108008,-0.334473,-9.455566,0.132129,0.271094,-9.433984,0.231738,0.293164,-9.442676,0.060254,0.480859,-9.457422,-0.087402,0.444629,9.460645,-0.152734,0.122266,9.352539,-0.23418,0.114258,9.460059,-0.098633
-0.31377,9.607129,-0.259082,-0.336523,9.447852,-0.176758,-0.429883,9.492676,-0.357324,-0.150684,-9.528809,0.299121,-0.199316,-9.665625,0.107813,-0.333301,-9.455859,0.130762,0.27168,-9.435645,0.228613,0.294434,-9.446289,0.060156,0.481152,-9.457422,-0.090332,0.444434,9.460938,-0.152246,0.123145,9.354004,-0.233496,0.11416,9.463672,-0.098926
-0.313477,9.60752,-0.259082,-0.33623,9.446289,-0.176758,-0.429297,9.493555,-0.358594,-0.151172,-9.528809,0.298535,-0.200488,-9.665039,0.107813,-0.334082,-9.456055,0.130762,0.271875,-9.436133,0.228223,0.294238,-9.447461,0.060059,0.481348,-9.456934,-0.089258,0.445801,9.460742,-0.151953,0.123242,9.35459,-0.235645,0.11416,9.461816,-0.101172
-0.313379,9.607324,-0.260352,-0.335352,9.44707,-0.178223,-0.429297,9.493848,-0.358594,-0.149902,-9.528613,0.298633,-0.2,-9.665918,0.109668,-0.33418,-9.456055,0.13125,0.271387,-9.436523,0.230957,0.293164,-9.447754,0.059473,0.481055,-9.457227,-0.085254,0.445508,9.461621,-0.151953,0.123535,9.354492,-0.235352,0.11543,9.462402,-0.101758
-0.312793,9.607715,-0.258301,-0.335352,9.449512,-0.178223,-0.429297,9.495313,-0.358887,-0.149805,-9.529687,0.298633,-0.199414,-9.66709,0.108984,-0.333887,-9.455762,0.132812,0.270996,-9.437695,0.231152,0.292578,-9.447852,0.062207,0.481055,-9.460059,-0.086035,0.44502,9.463867,-0.151562,0.121191,9.355176,-0.232617,0.114844,9.462012,-0.098828
-0.313086,9.607715,-0.258105,-0.335742,9.451074,-0.178223,-0.428613,9.495313,-0.358105,-0.149805,-9.52959,0.299219,-0.198242,-9.668359,0.111328,-0.333594,-9.460156,0.133008,0.27207,-9.438574,0.227832,0.294434,-9.447852,0.062891,0.480664,-9.459668,-0.088574,0.445312,9.463281,-0.152246,0.122168,9.355176,-0.23252,0.113965,9.462402,-0.097656
-0.312598,9.607715,-0.260352,-0.331934,9.450293,-0.179199,-0.426465,9.494531,-0.358301,-0.14707,-9.528027,0.30166,-0.19668,-9.667188,0.109766,-0.332031,-9.457129,0.133496,0.268652,-9.434766,0.22959,0.291602,-9.447559,0.059961,0.47793,-9.459668,-0.090039,0.441699,9.460352,-0.149512,0.118945,9.355762,-0.232324,0.111816,9.464844,-0.095801
